;;Year;Quarter;Saudi;Saudi_m;Saudi_f;Non_saudi;Non_saudi_m;Non_Saudi_f
01.10.2016;Q4-2016;2016;2;10462,10642;10656,33894;9578,84526;3603,896509;3814,141506;2093,038354
01.01.2017;Q1-2017;2016;3;9712,357822;9782,958708;9394,39592;3299,104263;3386,404764;2393,575361
01.04.2017;Q2-2017;2016;4;10227,10574;10414,75276;9375,01649;3758,242302;3921,302845;2498,972815
01.07.2017;Q3-2017;2017;1;9884,23959;10017,26836;9240,308754;3611,140372;3727,325142;2644,304706
01.10.2017;Q4-2017;2017;2;9910,831884;10056,74486;9199,842631;3875,439305;3952,364435;3013,627925
01.01.2018;Q1-2018;2017;3;10011,63187;10132,9185;9440,119888;3727,020845;3845,000366;2598,791806
01.04.2018;Q2-2018;2017;4;9939,325367;10160,03749;8995,31316;3673,804535;3791,559766;2503,422519
01.01.2019;Q1-2019;2018;1;10088,82327;10288,81816;9230,060544;3768,14475;3882,73372;2646,181579
01.04.2019;Q2-2019;2018;2;10237,6998;10430,15551;9412,242751;3755,458001;3887,992958;2652,286773
01.07.2019;Q3-2019;2019;1;10299,10765;10503,19101;9441,837182;3872,121814;3980,110335;2899,958658
01.10.2019;Q4-2019;2019;2;10341,84075;10574,81147;9431,088199;4048,002238;4151,932662;3103,899084
01.01.2020;Q1-2020;2019;3;10273,0132;10487,04436;9442,632458;3865,700277;3992,685568;2754,333474
01.04.2020;Q2-2020;2019;4;10256,36242;10586,7751;9106,537051;3768,852919;3881,12879;2831,561704
01.07.2020;Q3-2020;2020;1;10302,70319;10641,12794;9088,285543;4030,758888;4124,696439;3084,139284
01.10.2020;Q4-2020;2020;2;9970,297977;10389,78177;8691,51293;4135,592681;4274,354892;2916,546222
01.01.2021;Q1-2021;2020;3;9971,056802;10382,38963;8679,949086;4213,436295;4351,448276;2922,339411
01.04.2021;Q2-2021;2020;4;10539,69348;10966,67783;8950,968404;4077,648914;4264,138812;2547,796557
01.07.2021;Q3-2021;2021;1;10599,8789;11176,43974;8522,360261;4128,461768;4462,999748;1973,907038
01.10.2021;Q4-2021;2021;2;10491,248;11044,07172;8468,660739;4091,375009;4408,725216;2082,405917
01.01.2022;Q1-2022;2021;3;10474,12402;11117,14422;8186,625546;4600,585046;5005,663305;2284,710182
01.04.2022;Q2-2022;2021;4;10185,54969;10801,42531;8063,61593;4023,016498;4268,672975;2291,839366
01.07.2022;Q3-2022;2022;1;9811,756473;10608,13927;7516,774569;4104,977566;4330,422011;2478,669912
01.10.2022;Q4-2022;2022;2;10430,41218;10967,43302;8649,867259;4264,171465;4487,496694;2711,716447
01.01.2023;Q1-2023;2022;3;9583,143722;10357,2648;7566,223898;4280,032104;4468,469652;2942,206182
01.04.2023;Q2-2023;2022;4;9701,453807;10496,93164;7711,666582;4390,368085;4549,818544;3206,094008
#VALUE!;Q-;2023;1;9893,242042;10759,2431;7722,486605;4501,318284;4750,994267;2832,178094
#VALUE!;Q-;2023;2;9923,604891;10767,65822;7859,192477;4661,566923;4886,036415;3027,618686
