DATE,Y,Ex_Rate,C,K,Ex_Rate,I,TB,CA,CPI
2010-01-01,472498.1,3.75,156759.2,3737913.5,3.75,129045600000.001,87627967474.9333,12.6372717985377,5.33941680637454
2010-02-01,,3.75,,,3.75,,,,
2010-03-01,,3.75,,,3.75,,,,
2010-04-01,487268.9,3.75,164331.8,,3.75,,,,
2010-05-01,,3.75,,,3.75,,,,
2010-06-01,,3.75,,,3.75,,,,
2010-07-01,492963.7,3.75,159314.8,,3.75,,,,
2010-08-01,,3.75,,,3.75,,,,
2010-09-01,,3.75,,,3.75,,,,
2010-10-01,521219.1,3.75,159011.5,,3.75,,,,
2010-11-01,,3.75,,,3.75,,,,
2010-12-01,,3.75,,,3.75,,,,
2011-01-01,535829.9,3.75,159407.9,4082640.0,3.75,151687547004.243,178246906733.333,23.4314388285671,5.82621608838862
2011-02-01,,3.75,,,3.75,,,,
2011-03-01,,3.75,,,3.75,,,,
2011-04-01,544264.4,3.75,163892.7,,3.75,,,,
2011-05-01,,3.75,,,3.75,,,,
2011-06-01,,3.75,,,3.75,,,,
2011-07-01,555165.3,3.75,163549.0,,3.75,,,,
2011-08-01,,3.75,,,3.75,,,,
2011-09-01,,3.75,,,3.75,,,,
2011-10-01,564832.0,3.75,163879.3,,3.75,,,,
2011-11-01,,3.75,,,3.75,,,,
2011-12-01,,3.75,,,3.75,,,,
2012-01-01,573404.1,3.75,179103.5,4433489.5,3.75,164046675036.027,184213302925.49,22.209834088594,2.86626887489915
2012-02-01,,3.75,,,3.75,,,,
2012-03-01,,3.75,,,3.75,,,,
2012-04-01,579886.4,3.75,185521.3,,3.75,,,,
2012-05-01,,3.75,,,3.75,,,,
2012-06-01,,3.75,,,3.75,,,,
2012-07-01,590590.1,3.75,182186.5,,3.75,,,,
2012-08-01,,3.75,,,3.75,,,,
2012-09-01,,3.75,,,3.75,,,,
2012-10-01,575481.5,3.75,181508.6,,3.75,,,,
2012-11-01,,3.75,,,3.75,,,,
2012-12-01,,3.75,,,3.75,,,,
2013-01-01,573734.0,3.75,183278.9,4799990.0,3.75,176910554437.627,157750352290.196,17.9664105623764,3.53252470694918
2013-02-01,,3.75,,,3.75,,,,
2013-03-01,,3.75,,,3.75,,,,
2013-04-01,591161.4,3.75,188370.1,,3.75,,,,
2013-05-01,,3.75,,,3.75,,,,
2013-06-01,,3.75,,,3.75,,,,
2013-07-01,614601.7,3.75,190087.1,,3.75,,,,
2013-08-01,,3.75,,,3.75,,,,
2013-09-01,,3.75,,,3.75,,,,
2013-10-01,606107.2,3.75,195126.8,,3.75,,,,
2013-11-01,,3.75,,,3.75,,,,
2013-12-01,,3.75,,,3.75,,,,
2014-01-01,613298.0,3.75,198200.5,5195609.5,3.75,191093555954.141,95966244483.2502,9.62139735963754,2.23629031536978
2014-02-01,,3.75,,,3.75,,,,
2014-03-01,,3.75,,,3.75,,,,
2014-04-01,616018.5,3.75,198393.0,,3.75,,,,
2014-05-01,,3.75,,,3.75,,,,
2014-06-01,,3.75,,,3.75,,,,
2014-07-01,626245.2,3.75,206833.7,,3.75,,,,
2014-08-01,,3.75,,,3.75,,,,
2014-09-01,,3.75,,,3.75,,,,
2014-10-01,625883.7,3.75,209485.3,,3.75,,,,
2014-11-01,,3.75,,,3.75,,,,
2014-12-01,,3.75,,,3.75,,,,
2015-01-01,632607.0,3.75,223522.7,5601436.5,3.75,196533958197.697,-29296857411.0667,-8.47275770364983,1.20607322150109
2015-02-01,,3.75,,,3.75,,,,
2015-03-01,,3.75,,,3.75,,,,
2015-04-01,652555.9,3.75,219115.0,,3.75,,,,
2015-05-01,,3.75,,,3.75,,,,
2015-06-01,,3.75,,,3.75,,,,
2015-07-01,655982.8,3.75,212994.0,,3.75,,,,
2015-08-01,,3.75,,,3.75,,,,
2015-09-01,,3.75,,,3.75,,,,
2015-10-01,656665.8,3.75,225011.2,,3.75,,,,
2015-11-01,,3.75,,,3.75,,,,
2015-12-01,,3.75,,,3.75,,,,
2016-01-01,654664.5,3.75,227284.9,5882993.0,3.75,170547363046.273,2749855279.14932,-3.57999356490764,2.06884036053473
2016-02-01,,3.75,,,3.75,,,,
2016-03-01,,3.75,,,3.75,,,,
2016-04-01,663557.3,3.75,224611.6,,3.75,,,,
2016-05-01,,3.75,,,3.75,,,,
2016-06-01,,3.75,,,3.75,,,,
2016-07-01,661500.0,3.75,224885.6,,3.75,,,,
2016-08-01,,3.75,,,3.75,,,,
2016-09-01,,3.75,,,3.75,,,,
2016-10-01,672284.1,3.75,226387.0,,3.75,,,,
2016-11-01,,3.75,,,3.75,,,,
2016-12-01,,3.75,,,3.75,,,,
2017-01-01,657094.2,3.75,234103.3,6149889.0,3.75,171225749762.129,38017641380.9906,1.46354818245906,-0.838194579675018
2017-02-01,,3.75,,,3.75,,,,
2017-03-01,,3.75,,,3.75,,,,
2017-04-01,664720.2,3.75,235677.4,,3.75,,,,
2017-05-01,,3.75,,,3.75,,,,
2017-06-01,,3.75,,,3.75,,,,
2017-07-01,668243.4,3.75,235917.7,,3.75,,,,
2017-08-01,,3.75,,,3.75,,,,
2017-09-01,,3.75,,,3.75,,,,
2017-10-01,667077.9,3.75,239127.4,,3.75,,,,
2017-11-01,,3.75,,,3.75,,,,
2017-12-01,,3.75,,,3.75,,,,
2018-01-01,671938.8,3.75,241350.5,6385490.0,3.75,175420452556.256,105327188543.362,8.50143648399966,2.45814158007532
2018-02-01,,3.75,,,3.75,,,,
2018-03-01,,3.75,,,3.75,,,,
2018-04-01,675629.9,3.75,243823.4,,3.75,,,,
2018-05-01,,3.75,,,3.75,,,,
2018-06-01,,3.75,,,3.75,,,,
2018-07-01,687281.7,3.75,241528.0,,3.75,,,,
2018-08-01,,3.75,,,3.75,,,,
2018-09-01,,3.75,,,3.75,,,,
2018-10-01,695832.9,3.75,242139.7,,3.75,,,,
2018-11-01,,3.75,,,3.75,,,,
2018-12-01,,3.75,,,3.75,,,,
2019-01-01,686137.3,3.75,256854.8,6633050.5,3.75,187721210953.592,66919042077.4877,4.55896115913917,-2.09333333333329
2019-02-01,,3.75,,,3.75,,,,
2019-03-01,,3.75,,,3.75,,,,
2019-04-01,686062.5,3.75,258760.2,,3.75,,,,
2019-05-01,,3.75,,,3.75,,,,
2019-06-01,,3.75,,,3.75,,,,
2019-07-01,685190.6,3.75,259207.5,,3.75,,,,
2019-08-01,,3.75,,,3.75,,,,
2019-09-01,,3.75,,,3.75,,,,
2019-10-01,696013.3,3.75,256879.4,,3.75,,,,
2019-11-01,,3.75,,,3.75,,,,
2019-12-01,,3.75,,,3.75,,,,
2020-01-01,675203.2,3.75,254603.5,,3.75,176945515547.721,664277187.036278,-3.1070602979915,3.44545825956692
2020-02-01,,3.75,,,3.75,,,,
2020-03-01,,3.75,,,3.75,,,,
2020-04-01,641848.8,3.75,211455.4,,3.75,,,,
2020-05-01,,3.75,,,3.75,,,,
2020-06-01,,3.75,,,3.75,,,,
2020-07-01,650874.5,3.75,239477.8,,3.75,,,,
2020-08-01,,3.75,,,3.75,,,,
2020-09-01,,3.75,,,3.75,,,,
2020-10-01,665942.2,3.75,242695.0,,3.75,,,,
2020-11-01,,3.75,,,3.75,,,,
2020-12-01,,3.75,,,3.75,,,,
2021-01-01,656841.1,3.75,257437.3,,3.75,212400962256.518,73485768182.5657,5.07043495358432,3.06328988941547
2021-02-01,,3.75,,,3.75,,,,
2021-03-01,,3.75,,,3.75,,,,
2021-04-01,669233.6,3.75,254990.1,,3.75,,,,
2021-05-01,,3.75,,,3.75,,,,
2021-06-01,,3.75,,,3.75,,,,
2021-07-01,698126.2,3.75,263358.9,,3.75,,,,
2021-08-01,,3.75,,,3.75,,,,
2021-09-01,,3.75,,,3.75,,,,
2021-10-01,714873.8,3.75,262694.8,,3.75,,,,
2021-11-01,,3.75,,,3.75,,,,
2021-12-01,,3.75,,,3.75,,,,
2022-01-01,733469.2,3.75,271295.2,,3.75,273136965751.664,187668722123.075,13.845355049424,2.4740737192537
2022-02-01,,3.75,,,3.75,,,,
2022-03-01,,3.75,,,3.75,,,,
2022-04-01,741784.4,3.75,268669.1,,3.75,,,,
2022-05-01,,3.75,,,3.75,,,,
2022-06-01,,3.75,,,3.75,,,,
2022-07-01,750843.4,3.75,275448.9,,3.75,,,,
2022-08-01,,3.75,,,3.75,,,,
2022-09-01,,3.75,,,3.75,,,,
2022-10-01,760044.3,3.75,273441.0,,3.75,,,,
2022-11-01,,3.75,,,3.75,,,,
2022-12-01,,3.75,,,3.75,,,,
2023-01-01,750487.3,3.75,285196.3,,3.75,,,,
2023-02-01,,3.75,,,3.75,,,,
2023-03-01,,3.75,,,3.75,,,,
2023-04-01,747728.7,3.75,281622.0,,3.75,,,,
2023-05-01,,3.75,,,3.75,,,,
2023-06-01,,3.75,,,3.75,,,,
2023-07-01,718568.0,3.75,292098.4,,3.75,,,,
2023-08-01,,3.75,,,3.75,,,,
2023-09-01,,3.75,,,3.75,,,,
